Input (Doctor),Target (Relative),Progression
"We've stabilized their vitals for now.","Oh thank god... Is the worst over?",Stress Decreasing 
"We're still monitoring them closely.","So they could still...?",Stress Increasing
"There's always a risk, but we're doing everything we can.","I can't lose them, doctor. They're my whole world.",Stress Increasing
"I understand. We'll keep you updated.","Please, just tell me they'll be okay.",Stress Increasing
"We're hopeful, but it's too early to say for sure.","I don't know if I can handle this...",Stress Increasing 
"We're here for you. You're not alone in this.","Thank you... I just... I need a moment.",Stress Decreasing
"Take all the time you need.","I just want them to wake up.",Stress Increasing
"The surgery was a success.","Really? Oh, that's wonderful news!",Stress Decreasing
"They're still in recovery, but the initial signs are positive.","Can I see them?",Stress Decreasing 
"Not yet, but soon. They need to rest.","Okay... as long as they're okay.",Stress Decreasing
"We'll let you know when you can visit.","Thank you so much, doctor.",Stress Decreasing
"We're doing everything we can for them.","I know you are. I appreciate it.",Stress Decreasing 
"We'll keep you updated on their progress.","Thank you. Thank you for everything.",Stress Decreasing
"There were some complications during the procedure.","Complications? What do you mean?",Stress Increasing
"We had to address an unexpected issue, but we managed it.","Is that why it's taking so long?",Stress Increasing 
"Yes, but they're out of surgery now.", "But are they okay? What happened?",Stress Increasing
"They're stable for now, but we need to monitor them closely.","This is all my fault... I shouldn't have...",Stress Increasing
"This isn't your fault. We're focusing on their recovery.","I just want them to be okay...",Stress Increasing
"We all do. We'll keep you informed.","Please... just save them.",Stress Increasing
"I'm afraid I have some bad news.","What? What is it?",Stress Increasing
"Their condition has worsened.","No... No, this can't be happening.",Stress Increasing
"We're doing everything we can, but...","But what? Tell me!",Stress Increasing
"They're not responding to treatment as we hoped.","No... Please, you have to do something!",Stress Increasing
"We're consulting with other specialists.","They can't... They can't leave me...",Stress Increasing 
"We're doing everything in our power.","I don't know what I'll do if...",Stress Increasing
"We need to discuss their care plan going forward.","Care plan? What do you mean?",Stress Increasing
"Given their condition, we need to consider all options.","Options? What options?",Stress Increasing
"We may need to make some difficult decisions.","Difficult decisions? Like what?",Stress Increasing
"We may need to consider palliative care.","Palliative care? Are you saying...?",Stress Increasing
"We want to ensure they're comfortable.","No... There has to be something else...",Stress Increasing
"We'll discuss all possibilities with you.","I... I need some time to think.",Stress Increasing
