"Input","Target","Progression"
"We're doing everything we can.","Everything. It doesn't look like 'everything' to me. He's getting worse","I"
"I understand your frustration, but we need to be patient.","Patient. If it was you lying there, you wouldn't be so patient","I"
"We're following the best course of treatment available.","If this is the 'best', I'd hate to see the worst. Where are the results","I"
"It's still too early to tell. His condition is complex.","Complex. Are you saying you don't know what you're doing","I"
"I never said that. We're doing our best with a difficult situation.","Your best isn't good enough. I want some answers, now","I"
"She's not responding to the medication as we hoped.","That's just great. What are you going to do now","I"
"We're adjusting her treatment plan and exploring other options.","Exploring. You're wasting time. You need to fix this, and fast","I"
"We're doing everything we can. These things take time.","Time is something she doesn't have. Get your act together","I"
"I assure you, we're working diligently to find a solution.","Diligent. I don't see any diligence. I see incompetence","I"
"I understand your anger, but please try to trust us.","Trust you. After this disaster. Never","I"
"He's stable at the moment, but it's too early to tell...","Too early. What does that even mean. Give me a straight answer","I"
"It means his condition is still critical, and we're monitoring closely.","Monitoring. He needs more than monitoring. He needs action","I"
"We're taking every necessary step to ensure his recovery.","Every step. All. I see is you standing around","I"
"It's important to stay calm and let us do our job.","Calm. How can. I be calm when his life is on the line","I"
"Your negativity isn't helping. We need to work together.","Work together. You're the ones failing him","I"
"She's showing some signs of improvement, but it's a slow process.","Slow. She's running out of time. This is unbearable","I"
"We understand your worry. We're doing everything we can to accelerate...","Accelerate. Everything's moving at a snail's pace. This is agonizing","I"
"We have to be patient and allow her body to heal.","Patient. What good is patience when she's slipping away","I"
"I assure you, we're using all our resources to help her.","Resources. I see no evidence of any resources being used effectively","I"
"Believe me, we want her to recover just as much as you do.","Then why haven't you done more. Why this delay. Why","I"
"We're considering a new treatment option.","Considering. What are you waiting for. Just do it","I"
"It's a risky procedure, and we need to weigh the risks and benefits.","What risks. Are you saying you might make it worse","D"
"There are always risks with any procedure, but we believe...","Don't give me that. You're just covering your incompetence","I"
"We're not incompetent. We're trying to help.","Trying isn't enough. You're failing miserably","I"
"I understand your frustration, but please try to trust our expertise.","Expertise. You call this expertise. This is a nightmare","I"
"His condition is very serious, and we're doing everything we can.","Everything. That's not good enough. I demand better","I"
"I realize this is difficult, but we need to be realistic about...","Realistic. How can. I be realistic when. I might lose him","I"
"I'm not saying you should lose hope. We're still fighting for him.","Fighting. It doesn't feel like a fight to me. It feels hopeless","I"
"We're not giving up, and neither should you.","How can. I not give up when you're not giving me any hope","I"
"We're doing everything we can to provide the best possible care.","Best possible care. This doesn't feel like 'best' anything","I"
"We've had a setback with her treatment.","A setback. What does that even mean. Tell me straight","I"
"It means her condition has worsened, and we're adjusting...","Worsened. How could it worsen. What are you doing wrong","I"
"We're not doing anything wrong. These things can happen...","Can happen. This is unacceptable. You're failing her","I"
"We're not failing her. We're doing everything we can...","Everything. I don't see it. You're just making excuses","I"
"I understand you're angry, but please try to understand...","Understand. How can. I understand when you're failing to save her","I"
"I understand your frustration, we're doing our best.","Your best isn't good enough. I need to know what's going on","I"
"We're still running tests, we'll have a clearer picture soon.","Don't tell me to be patient. This is my best friend's life","I"
"I assure you, we're working as quickly as possible.","That's easy for you to say, you're not the one waiting","I"
"I'll update you as soon as we have more information.","You better, because this is unacceptable","I"
"She's showing some signs of improvement, which is positive.","Positive. She should be awake by now, this is ridiculous","I"
"It's a gradual process, it takes time for the body to heal.","Time. We don't have time, you need to be doing more","I"
"We're monitoring her very closely, she's receiving the best care.","If she was receiving the 'best care' she wouldn't still be here","I"
"We're doing everything we can to help her recover.","Well it doesn't feel like enough. I want some real answers","I"
"I know this is hard, but we need to be patient and let her heal.","Easy for you to say. You're not living this nightmare","I"
"We've had a setback, his body isn't responding as we'd hoped.","What do you mean 'setback' You said he was getting better","I"
"There are always unpredictable factors in these situations.","Unpredictable. This isn't a game, this is his life","I"
"We're adjusting the treatment plan, we're not giving up.","You better not give up. You need to fix this","I"
"We're doing everything in our power to help him.","That's what you keep saying, but nothing is changing","I"
