"Input","Target","Progression"
"Thank you, doctor. I'm trying to be strong, but. I'm terrified.","It's okay to be scared. We're here to walk you through this difficult time.","D"
"It's too early to tell, but we're doing everything we can.","I know, it's just... he's never been this sick before. It's terrifying.","N"
"We're monitoring them closely and will keep you updated.","It just happened so fast. One minute we were laughing, the next... I just don't understand.","I"
"They're in the best possible hands right now.","But what if it's something serious. What if...","I"
"Let's not jump to conclusions. We need to give the treatment time to work.","You're right. I'm sorry. It's just hard not knowing. It's eating me alive.","I"
"I understand your worry. We'll know more soon.","I hope so. I just want them to be okay.","D"
"The surgery went well, but there are some postop complications.","Complications. What kind of complications. Is it serious","I"
"It's too early to say for sure. We're monitoring them closely.","But what could have gone wrong. The doctor said the surgery was routine.","I"
"Every surgery carries inherent risks. We're doing our best to manage the situation.","But what if it's something serious. This is my best friend. I can't lose them.","I"
"We're exploring all treatment options. Please try not to worry too much at this stage.","That's easy for you to say. You're not the one facing this terrifying unknown.","I"
"I know this is difficult, and we're here to support you both. Let's focus on the positives.","Positive. How can. I be positive when their life is hanging in the balance","D"
"They're responding well to the medication, but it's a long road to recovery.","How long. Will they be the same. Will they... Will they ever fully recover","N"
"It's too early to give a definitive prognosis. We're taking it one day at a time.","But what are the chances. I need some kind of hope to cling to.","I"
"We're seeing positive signs, and that's what matters right now.","Positive signs... but what if those signs disappear. What if this is just temporary","I"
"We're doing everything we can to ensure that doesn't happen.","Everything... but is everything enough. What if it isn't","I"
"We understand your fear, but let's focus on the progress they're making.","I'm trying, doctor. It's just... this fear is crippling.","D"
"We need to run some more tests. Their condition is a bit complex.","Complex. What does that even mean. Is it worse than we thought","I"
"It simply means we need more information to determine the best course of action.","But what if the tests reveal something terrible. I can't even think about that.","I"
"It's natural to worry, but let's not assume the worst. We're here to help.","Help... but what if you can't. What if there's nothing you can do","I"
"We have a team of specialists working together to find the best solution.","Solutions... but what if there are no solutions. This uncertainty is killing me.","I"
"We understand this is a stressful time. We'll keep you informed every step of the way.","Informed... but still so powerless. It's like this fear is consuming me.","D"
