"Input","Target","Progression"
"It's not the news we were hoping for, I'm afraid. The infection is proving to be more resistant than we anticipated.","I just...I don't understand. They were doing better just last week, weren't they. We were all so hopeful. ","N"
"Yes, but unfortunately there are always unforeseen complications. We're doing everything we can, but it's a very delicate situation.","Everything we can...but what does that even mean anymore. How much worse can this get","I"
"We're adjusting the medication and monitoring them very closely. We won't give up.","I know you're trying your best, Doctor. I just...I can't lose them. They mean everything.","I"
"I understand this is incredibly difficult. Their strength and everyone's support means a lot right now.","Strength. They're barely holding on. And how can we be strong when everything feels like it's falling apart","I"
"We have to hold onto hope. We're doing everything possible, and they are fighting as hard as they can.","Hope...that's getting harder and harder to find.","I"
"We're still running tests, but there are some complications we need to discuss.","Complications. What kind of complications. Is it serious","N"
"There have been some setbacks, yes. We're trying to understand the full extent.","Setbacks... this isn't what. I wanted to hear. I was hoping for good news.","D"
"I know this is hard, but we need to remain optimistic and focus on the next steps.","Optimistic. How can. I be optimistic when things are getting worse","I"
"We're exploring all treatment options. It's a difficult situation, but we're not giving up.","Every time you say that, it feels like another blow. What are these options even","I"
"It's too early to say for sure, but we're determined to find the best possible path forward.","I just want them to be okay. I'm so scared.","I"
"I understand your concern. It's a tough situation. Unfortunately, their condition has worsened.","Worse. How much worse. What's happening","N"
"Their body isn't responding to the treatment as we'd hoped. We're trying everything we can.","Everything. But nothing is working. I feel helpless. What can. I even do","I"
"Just being here for them is the most important thing. Your support means the world.","But. I feel like. I'm failing them. This is all just...too much.","I"
"You're not failing them. Your presence is a source of comfort. We're all in this together.","But for how much longer. How much longer can they fight","I"
"We're all hoping for the best. We need to stay strong for them.","Strong... It's hard to be strong when it feels like everything is slipping away.","I"
"I'm afraid the situation is more serious than we initially thought.","More serious. What does that even mean. Please, tell me what's going on.","N"
"Their body isn't responding as we'd hoped. It's a very delicate situation.","Delicate. What are you saying. Are they... are they going to be okay","D"
"We're doing everything we can, but it's a very challenging situation.","Challenging. That doesn't sound good. I don't know how much more. I can take.","I"
"I know this is incredibly difficult to hear. We're here for you both.","I don't want to hear it's difficult, I want to hear they're going to be alright","I"
"We all want that, and we're fighting for it. We have to hold onto hope.","Hope feels like a luxury. I can't afford right now.","I"
"We've been monitoring their progress, and there have been some developments.","Developments. What kind of developments. Are they good or bad","N"
"Unfortunately, they're not positive. The treatment isn't having the desired effect.","Not positive. What does that mean. I thought they were getting better.","D"
"There are always ups and downs in these situations. We're adjusting the treatment plan.","Ups and downs. This feels like a steep drop. What's the plan now","I"
"We're exploring all options, but it's a complex situation. We're doing everything we can.","Everything...that phrase doesn't feel reassuring anymore. It just makes me more scared.","I"
"We understand your fear. We're here to answer your questions and support you.","But can you give me any real hope. Because right now, I'm drowning in fear.","I"
"I'm very sorry, but. I have some difficult news to share.","Difficult news. Please, just tell me. I need to know.","N"
"They're not responding to the treatment as we had hoped.","Not responding...what does that mean. Is it serious","D"
"It means we need to consider other options, but the prognosis isn't good.","Not good... I don't understand. What other options are there","I"
"We're exploring all possibilities, but the reality is their condition is very serious.","Serious...how serious. What are you saying, doctor","I"
"We're doing everything we can to make them comfortable. It's important to be prepared.","Prepared. Prepared for what. I can't...I won't accept that.","I"
"There have been some changes in their condition.","Changes. What kind of changes. Are they doing better","N"
"Unfortunately, no. Their condition has deteriorated.","Deteriorated. How. What happened. Tell me what's going on","I"
"It's a complex situation, but their body is struggling.","Struggling... How much time do they have. Please, be honest with me.","I"
"I can't give you a definitive answer, but it's important to cherish the time you have.","Cherish. You're asking me to cherish moments when. I'm terrified of losing them","I"
"I understand your fear. We're here for you and for them. Please, let us know if there's anything you need.","What. I need is for them to be okay. That's all. I need.","I"
"I'm afraid we have some challenging news regarding their condition.","Challenging news. What's happening. Are they alright","N"
"Unfortunately, their condition has worsened. It's becoming increasingly difficult.","Worsened. How much worse. What does that mean for them","D"
"It means we're facing a very difficult situation. We're doing everything we can, but...","But what. Please, just tell me. I need to know.","I"
"But we need to be prepared for any outcome. It's important to cherish the time we have.","Prepared for any outcome. Are you saying...are you saying they might not make it","I"
"They're not responding to the treatment as well as we hoped.","That's... that's heartbreaking to hear. What does that mean for them","I"
"It's too early to say for sure, but we need to be prepared for any outcome.","Any outcome. I... I don't know if. I can handle that.","I"
"I know this is incredibly difficult. We're here for you, whatever happens.","I appreciate that, doctor. It means a lot.","D"
"We'll continue to monitor them closely and adjust treatment as needed.","Please, just do everything you can. They're all. I have.","D"
"The surgery went well, but there are some complications.","Complications. What kind of complications. Is she going to be okay","I"
"It's too soon to know the full extent. We're monitoring her closely.","I just want her to wake up. This waiting is killing me.","I"
"She's still unconscious, but her vitals are stable.","Stable. But what does that mean for her recovery","N"
"We're hopeful she'll regain consciousness soon.","I'm praying for a miracle. She's too young for this.","D"
"We're all hoping for the best. She's a fighter.","I know she is. She's always been.","D"
"We had to resuscitate him earlier. He's stable now, but...","But what. What aren't you telling me. This is my best friend.","I"
"His heart is very weak. We're doing what we can to support it.","How weak. Is he... is he going to make it","I"
"I can't give you any guarantees. We're taking things one day at a time.","One day at a time. This is unbearable. I can't lose him.","I"
"We understand this is difficult. We're here for you.","It's not just difficult, it's a nightmare. He means everything to me.","I"
"We'll continue to do everything we can.","Please, you have to. He's all. I have left.","I"
"I'm so sorry, but we couldn't save her.","No... No, that's not possible. You said she was improving.","I"
"She was, but then she suddenly took a turn for the worse.","She can't be... I don't want to believe this.","I"
"I know this is a terrible shock. Please, let me know if there's anything. I can do.","What can you do. You can't bring her back.","I"
"I can offer my deepest condolences. She was a wonderful person.","She was. She was my everything. And now she's gone.","I"
"We're here for you during this difficult time.","It's not just difficult, it's the end of my world.","I"
"There have been some unforeseen complications.","Complications. What does that mean for his prognosis","I"
"It's too early to say for certain, but it's not good news.","Not good news. How bad is it","I"
"We're doing everything we can, but his body isn't responding.","What does that mean. Is he... is he going to die","I"
"We're concerned that might be the case.","No... No, it can't be. He's too young.","I"
