Input (Doctor),Target (Relative),Progression
"We've stabilized their vitals for now.", "Oh thank god... Is the worst over?", D
"We're still monitoring them closely.", "So they could still...?", I
"There's always a risk, but we're doing everything we can.", "I can't lose them, doctor. They're my whole world.", I
"I understand. We'll keep you updated.", "Please, just tell me they'll be okay.", I 
"We're hopeful, but it's too early to say for sure.", "I don't know if I can handle this...", I
"We're here for you. You're not alone in this.", "Thank you... I just... I need a moment.", D
"Take all the time you need.", "I just want them to wake up.", I 
"The surgery was a success.", "Really? Oh, that's wonderful news!", D
"They're still in recovery, but the initial signs are positive.", "Can I see them?", D
"Not yet, but soon. They need to rest.", "Okay... as long as they're okay.", D 
"We'll let you know when you can visit.", "Thank you so much, doctor.", D 
"We're doing everything we can for them.", "I know you are. I appreciate it.", D
"We'll keep you updated on their progress.", "Thank you. Thank you for everything.", D
"There were some complications during the procedure.", "Complications? What do you mean?", I
"We had to address an unexpected issue, but we managed it.", "Is that why it's taking so long?", I
"Yes, but they're out of surgery now.", "But are they okay? What happened?", I 
"They're stable for now, but we need to monitor them closely.", "This is all my fault... I shouldn't have...", I 
"This isn't your fault. We're focusing on their recovery.", "I just want them to be okay...", I 
"We all do. We'll keep you informed.", "Please... just save them.", I 
"I'm afraid I have some bad news.", "What? What is it?", I
"Their condition has worsened.", "No... No, this can't be happening.", I 
"We're doing everything we can, but...", "But what? Tell me!", I
"They're not responding to treatment as we hoped.", "No... Please, you have to do something!", I 
"We're consulting with other specialists.", "They can't... They can't leave me...", I
"We're doing everything in our power.", "I don't know what I'll do if...", I
"We need to discuss their care plan going forward.", "Care plan? What do you mean?", I 
"Given their condition, we need to consider all options.", "Options? What options?", I 
"We may need to make some difficult decisions.", "Difficult decisions? Like what?", I 
"We may need to consider palliative care.", "Palliative care? Are you saying...?", I
"We want to ensure they're comfortable.", "No... There has to be something else...", I 
"We'll discuss all possibilities with you.", "I... I need some time to think.", I
"They're asking for you.", "Really? Oh, I need to see them!", D
"Let's go.", "Thank you, doctor.", D
