Input,Target,Progression
"We've stabilized your wife for now, but she's still unconscious.","Unconscious? For how long? When will she wake up?",I
"It's hard to say. We're monitoring her closely.","This is a nightmare. She was fine yesterday.",I
"I understand this is difficult, but we're doing everything we can.","I just want her to wake up.",D
"We all do. We'll keep you updated.","Thank you, doctor.",D
"Of course. We're here for you.","I appreciate that.",N
"Your son is a fighter. He's responding well to the treatment.","He's so young. It's not fair.",I
"I know. It's heartbreaking. But he's strong.","Will he be okay?",I
"We're cautiously optimistic. We're seeing positive signs.","That's good to hear. Thank you.",D
"We'll continue to do our best.","I know you are. Thank you for everything.",D
"Your daughter's surgery went well. She's in recovery now.","Thank goodness. Can I see her?",I
"She's still a bit groggy from the anesthesia, but you can see her soon.","I just want to hold her hand.",D
"I'll let you know when she's ready.","Thank you, doctor. You've been so kind.",D
"We're here for you and your daughter.","I'm so grateful.",N
"We're doing everything we can to manage your mother's pain.","She's been through so much. I hate seeing her suffer.",I
"I know it's hard. We're trying different approaches to find what works best.","Will she ever be pain-free?",I
"We hope to find a combination of medications and therapies that provide her relief.","I just want her to be comfortable.",D
"That's our goal too.","Thank you for your efforts.",D
"Your brother's condition is complex, and we're still running tests.","What does that mean? Is he going to be alright?",I
"We need more information before we can give you a definitive answer.","This is so frustrating. The waiting is killing me.",I
"I understand. We'll update you as soon as we know more.","I appreciate that.",D
"In the meantime, we're here to support you and your family.","Thank you.",N
"We've had to make your husband comfortable. There's nothing more we can do.","What do you mean comfortable? Is he dying?",I
"His body is shutting down. We can keep him pain-free, but...","No. This can't be happening. He's too young.",I
"I know this is incredibly difficult. I'm so sorry.","I just... I need a minute.",D
"Your father's heart is weak, but he's stable for now.","What are our options?",N
"We can discuss medication and lifestyle changes, or consider more aggressive interventions.","I don't want to make the wrong decision.",I
"We'll work together to determine the best course of action.","Thank you for explaining everything.",N
"We found a mass during your sister's scan. We need to do further tests.","A mass? Is it... cancer?",I
"We can't say for sure until we get the biopsy results.","This is terrifying. How long will that take?",I
"We should have the results within a few days.","Those few days will feel like a lifetime.",I
"I understand. We'll contact you as soon as we know more.","Thank you doctor.",D
"Your nephew is showing some positive signs of recovery.","That's wonderful news! Can I see him?",D
"He's still in the ICU, but you can visit for a short time.","I'll be there as soon as I can.",N
"He'll be happy to see you.","Thank you for taking such good care of him.",N
